Gen;Time;Best Score;First Place Generation;Second Place Generation;Third Place Generation
120;706.1328432559967;835.428674411095;611.411899517517;552.9790265216286;395.9342553628983
121;711.3049998283386;835.428674411095;591.7990691976651;553.451512059474;468.5910600302614
122;716.107254743576;835.428674411095;720.3366291859959;676.4499436938008;577.2341708823043
123;722.2404432296753;835.428674411095;660.4577466571582;613.3005572192683;574.8836218608759
124;728.1307542324066;835.428674411095;645.982706097156;607.7788353813049;500.6613265575088
125;734.1688966751099;835.428674411095;636.2927460473012;604.9301279040126;494.7661465853879
126;739.4181835651398;835.428674411095;651.5773034655305;544.9906449709011;483.3488891767221
127;745.3860540390015;835.428674411095;647.2967176522209;628.8709194024441;605.387967186861
128;751.1693248748779;835.428674411095;694.0935304249533;666.66063125397;652.8176453033376
129;755.5767433643341;835.428674411095;627.0793722378901;538.5653784725037;503.9581806180215
130;761.2289261817932;835.428674411095;754.1395481060557;510.0737999327688;499.1708334110726
131;766.3102452754974;835.428674411095;679.7965887870338;672.114334721741;536.197874592303
132;771.0883283615112;835.428674411095;628.0849952752692;521.450358885335;490.7659648585068
133;775.9666266441345;835.428674411095;583.7741694817454;528.201499442748;517.9991780536978
134;781.168053150177;835.428674411095;626.975562948335;581.6553294447118;577.8001783641869
135;786.5805625915527;835.428674411095;654.2086972673521;512.411301855066;491.80122894655364
136;791.9012124538422;835.428674411095;688.7584092735372;645.783428449477;605.3697044025403
137;797.494745016098;835.428674411095;640.4877357143505;522.5191796635929;467.8398919156578
138;803.0740692615509;835.428674411095;697.1805645393166;638.6838042669779;627.2854323598182
139;808.2392172813416;835.428674411095;698.0019787745273;541.1942259677819;466.5904575942509
140;813.1612732410431;835.428674411095;588.6753997496213;505.6018947324999;474.9022311728337
141;818.8705658912659;835.428674411095;568.1123654252173;535.7790815917539;529.8130793963692
142;824.4433052539825;835.428674411095;556.9305085092691;542.360867949374;508.2263041296719
143;830.547336101532;835.428674411095;620.2392352176967;537.1180617723828;523.9324064355726
144;836.5709936618805;835.428674411095;677.7917237443993;568.024778604167;497.37898093445403
145;842.4568121433258;835.428674411095;612.3839589211309;561.5463938005569;528.2852574066936
146;847.9055035114288;835.428674411095;573.6580336862069;477.82027914398736;463.8098432571165
147;853.6021921634674;835.428674411095;567.4243974930484;560.5132902156506;529.8971909341552
148;859.237603187561;835.428674411095;645.804187152114;542.027758641807;469.15988942855233
149;864.4853477478027;835.428674411095;652.6605633444902;597.8374629233683;526.7387889920483
150;870.2374374866486;835.428674411095;592.2103911979464;534.3613016075005;511.7612482614614
151;876.208395242691;835.428674411095;654.3225595861113;590.9702474625765;575.168946570303
152;881.5001809597015;835.428674411095;568.9303710072691;497.89161713825774;448.9843101695827
153;887.8316764831543;835.428674411095;675.2952779382858;671.5344632114314;559.9595618144539
154;893.0558757781982;835.428674411095;642.5983172621613;494.9887043994312;482.03807307988205
155;898.5460517406464;835.428674411095;624.5772586232813;589.1525089246302;543.1151849142564
156;904.5423576831818;835.428674411095;747.9702462545503;507.44974495475174;494.86949302900985
157;910.7577755451202;835.428674411095;707.2157629126174;625.272647157509;597.3238104954286
158;916.316130399704;835.428674411095;708.4495293493821;665.898797589594;538.5302420435997
159;922.2573041915894;835.428674411095;643.6136602870902;554.8409171899345;551.9185103605815
160;928.1281740665436;835.428674411095;552.3695007133822;521.9534748590077;517.1579231679069
161;933.741649389267;835.428674411095;628.7194445488643;608.5192039481917;497.1747173991857
162;939.2942383289337;835.428674411095;647.9399920957546;639.7643548914476;624.8050929991884
163;945.5039491653442;835.428674411095;610.2999343833716;583.0456606063809;534.9592985349342
164;951.2924556732178;835.428674411095;672.3418541597034;617.5497944843897;590.1552538179864
165;957.2356791496277;835.428674411095;763.4226904796125;582.1628124049431;478.272763665749
166;962.8203790187836;835.428674411095;663.0913352370461;488.8596178590367;486.20471188615704
167;968.5971205234528;835.428674411095;761.8248957155057;695.8207215304863;502.3706462378
168;974.3994133472443;835.428674411095;563.4702309735168;554.4979447314571;535.4596085426224
169;980.6471040248871;835.428674411095;678.129113270748;638.2621707633182;616.1218068670394
170;986.493486404419;835.428674411095;611.0380063709473;485.0851746761427;481.2828026409457
171;992.131251335144;835.428674411095;653.092771797381;653.0746888627757;651.4395114322871
172;998.0482006072998;835.428674411095;724.0554541774796;648.5493159464946;621.5413819574011
173;1004.6382193565369;835.428674411095;701.253083277744;625.9044683962803;609.5864946664194
174;1011.3725161552429;835.428674411095;604.014940903151;594.1683489987306;529.63954296378
175;1017.5715477466583;835.428674411095;665.2578060488177;609.7254442985659;573.5214476965754
176;1023.5835404396057;835.428674411095;666.2186854830868;640.9838924094506;628.2837998493695
177;1029.239286661148;835.428674411095;555.7074224898812;517.1148094816267;516.9434343538691
178;1034.7362611293793;835.428674411095;664.5080070387921;534.1584014406925;508.02837154216013
179;1040.2456197738647;835.428674411095;680.4678382931004;563.8565947340767;507.1561045177205
180;1045.8119685649872;835.428674411095;614.7198326092469;552.1404223124241;530.3027778599557
181;1051.8051495552063;835.428674411095;720.04584514917;716.3438507865895;593.8156844926702
182;1057.1881656646729;835.428674411095;617.4520060642972;577.9010205263576;516.1291430757826
183;1062.2167172431946;835.428674411095;641.509195308178;471.45563140570596;466.0714252348922
184;1067.9762921333313;835.428674411095;731.0391583359547;591.6890617674453;560.2642888635763
185;1074.4771530628204;835.428674411095;651.8656209660728;563.0319949081827;505.01653463343325
186;1080.8429489135742;835.428674411095;759.2563957293521;612.3830580096852;605.8154544326737
187;1087.642210483551;835.428674411095;706.2106733016051;705.2772794314843;620.1993006477954
188;1094.6002397537231;835.428674411095;706.7994500260818;607.8183149939757;515.58737503932
189;1101.022908449173;835.428674411095;668.2274475834575;651.3837049526713;607.132617248898
190;1109.5715458393097;835.428674411095;695.5527026985809;626.0519994462347;568.0615279985365
191;1115.5901181697845;835.428674411095;683.042134725338;592.7384960125005;556.2550648490802
192;1121.6655011177063;835.428674411095;769.0052420004366;584.7989415633153;580.9785798978289
193;1129.1284368038177;835.428674411095;739.0559160971656;733.0830627719888;719.1801869614087
194;1138.1539659500122;835.428674411095;815.3010029136735;763.832053862691;725.2480724399511
195;1145.827457666397;904.9001040487985;904.9001040487985;812.6406470201077;771.8626080769579
196;1156.012847185135;904.9001040487985;817.0373051170484;776.1893602293153;749.8891075718193
197;1166.1750588417053;904.9001040487985;832.366962814199;814.3893381614654;756.0124937522174
198;1175.783411026001;904.9001040487985;847.5863369535765;799.6962226542453;797.3681421020111
199;1185.5562069416046;904.9001040487985;854.9898845520037;805.8854586369082;804.4297824608723
200;1195.1365303993225;904.9001040487985;810.5913333930182;792.2706790847681;784.1990693004044
201;1205.2123305797577;904.9001040487985;811.0154338632406;808.6137017774752;793.939392761571
202;1214.8600656986237;904.9001040487985;849.5955716827692;837.2091747579364;835.4762078048196
203;1224.0390617847443;904.9001040487985;867.5398073610805;817.9714656546379;810.1347692392819
204;1233.290799856186;904.9001040487985;829.8735872880821;828.4660227078097;817.6699600201782
205;1242.9032907485962;904.9001040487985;835.9150155781426;805.036950092712;799.3659808598162
206;1253.0856294631958;904.9001040487985;823.8856424796768;821.5624561218889;815.0720565589637
